trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
35.253204,0.0,35.253204,35.253204,501.0,-2423.5024,440.22174,-1787.8011,-3312.8218,501.0,5010,0.0,0.0,37.28744983673096,0.11056874,-2423.5024
120.10129,0.0,120.10129,120.10129,501.0,20.805195,33.776703,107.78268,-22.319485,501.0,10020,0.0,0.0,301.61882638931274,0.09978042,-2423.5024
141.34026,0.0,141.34026,141.34026,501.0,132.08812,23.955986,167.18698,98.300446,501.0,15030,0.0,0.0,564.2850632667542,0.11119587,-2423.5024
196.64966,0.0,196.64966,196.64966,501.0,218.2168,33.410393,286.0562,186.06503,501.0,20040,0.0,0.0,826.0652618408203,0.112205036,-2423.5024
178.65799,0.0,178.65799,178.65799,501.0,215.2832,30.48364,256.4559,166.76657,501.0,25050,0.0,0.0,1090.2148079872131,0.114112735,-2423.5024
288.3796,0.0,288.3796,288.3796,501.0,225.45134,25.14059,254.9806,162.83029,501.0,30060,0.0,0.0,1348.8829596042633,0.11569211,-2423.5024
193.89981,0.0,193.89981,193.89981,501.0,279.27948,18.343813,308.65936,255.46077,501.0,35070,0.0,0.0,1618.0095994472504,0.11060258,-2423.5024
209.30458,0.0,209.30458,209.30458,501.0,243.7474,26.50563,269.72067,180.33281,501.0,40080,0.0,0.0,1881.7117173671722,0.11493591,-2423.5024
281.9953,0.0,281.9953,281.9953,501.0,236.25748,35.934372,300.5642,188.24487,501.0,45090,0.0,0.0,2144.8740379810333,0.11051789,-2423.5024
267.86862,0.0,267.86862,267.86862,501.0,286.45233,30.378262,325.26825,232.38454,501.0,50100,0.0,0.0,2410.72075009346,0.11192646,-2423.5024
284.97806,0.0,284.97806,284.97806,501.0,256.87723,39.785385,327.2422,194.65262,501.0,55110,0.0,0.0,2674.8755161762238,0.114608355,-2423.5024
280.58224,0.0,280.58224,280.58224,501.0,286.82346,18.651823,317.06308,254.85944,501.0,60120,0.0,0.0,2939.908936023712,0.11403655,-2423.5024
330.43185,0.0,330.43185,330.43185,501.0,279.12436,29.135912,347.89917,244.52602,501.0,65130,0.0,0.0,3204.7447879314423,0.11592429,-2423.5024
327.78766,0.0,327.78766,327.78766,501.0,307.06384,34.42219,354.44452,231.49074,501.0,70140,0.0,0.0,3471.103966474533,0.11725966,-2423.5024
252.11201,0.0,252.11201,252.11201,501.0,287.24298,48.06322,366.71985,190.2128,501.0,75150,0.0,0.0,3736.4261972904205,0.11325546,-2423.5024
311.2791,0.0,311.2791,311.2791,501.0,301.1404,52.033955,383.85156,199.02472,501.0,80160,0.0,0.0,4002.6238865852356,0.11397273,-2423.5024
264.03394,0.0,264.03394,264.03394,501.0,324.31323,33.119778,365.52972,242.80507,501.0,85170,0.0,0.0,4275.934105634689,0.11159283,-2423.5024
335.1369,0.0,335.1369,335.1369,501.0,296.44077,56.49272,359.32217,194.02371,501.0,90180,0.0,0.0,4545.237102985382,0.11395055,-2423.5024
298.72156,0.0,298.72156,298.72156,501.0,306.72437,39.407,362.0472,252.60968,501.0,95190,0.0,0.0,4815.399091720581,0.11134172,-2423.5024
322.73584,0.0,322.73584,322.73584,501.0,306.9633,33.016117,342.2506,233.03123,501.0,100200,0.0,0.0,5086.184251070023,0.11198321,-2423.5024
