trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-1687.9529,75.15875,-1612.7942,-1763.1117,201.0,-1867.5033,395.404,-1096.5337,-2495.3633,201.0,5025,0.0,0.0,23.185943365097046,0.21407492,-1867.5033
-688.70605,1.0411377,-687.6649,-689.7472,201.0,-1703.9281,260.9015,-852.7517,-1986.9224,201.0,10050,0.0,0.0,199.29926800727844,0.25642723,-1867.5033
-301.90906,0.9771576,-300.9319,-302.8862,201.0,-596.0386,159.8871,-355.8157,-855.2263,201.0,15075,0.0,0.0,377.5882315635681,0.22402851,-1867.5033
-280.90903,16.785248,-264.12378,-297.69427,201.0,-372.69507,289.5373,-274.20007,-1779.2974,201.0,20100,0.0,0.0,552.2564697265625,0.21202438,-1867.5033
-274.0888,10.123077,-263.96573,-284.21188,201.0,-304.79327,24.436848,-251.35065,-351.85486,201.0,25125,0.0,0.0,727.8706223964691,0.18622917,-1867.5033
-262.5942,11.772827,-250.82138,-274.36703,201.0,-288.86896,18.168627,-253.02338,-334.80618,201.0,30150,0.0,0.0,906.9227437973022,0.18382621,-1867.5033
-262.37164,8.054794,-254.31686,-270.42645,201.0,-272.68765,16.44976,-245.26083,-313.93832,201.0,35175,0.0,0.0,1085.0602078437805,0.18478112,-1867.5033
-256.7068,2.881607,-253.8252,-259.5884,201.0,-263.45306,14.844131,-237.02975,-296.16595,201.0,40200,0.0,0.0,1263.9219462871552,0.17138569,-1867.5033
-266.15894,9.642502,-256.51645,-275.80145,201.0,-264.817,10.810587,-239.37433,-285.32144,201.0,45225,0.0,0.0,1442.5052337646484,0.17091918,-1867.5033
-265.03522,5.1439667,-259.89124,-270.17917,201.0,-270.81525,19.626432,-235.80394,-313.57748,201.0,50250,0.0,0.0,1616.6159172058105,0.16691417,-1867.5033
-270.4452,4.6349335,-265.81024,-275.0801,201.0,-265.64825,15.829943,-235.58081,-300.27765,201.0,55275,0.0,0.0,1794.8584778308868,0.16542263,-1867.5033
-267.29184,7.821167,-259.47067,-275.113,201.0,-264.3982,14.593009,-238.41513,-309.04367,201.0,60300,0.0,0.0,1968.7897236347198,0.16245842,-1867.5033
-257.74905,6.606025,-251.14302,-264.35507,201.0,-253.86606,14.791468,-227.42703,-290.39005,201.0,65325,0.0,0.0,2148.263664960861,0.15741558,-1867.5033
-269.2655,3.2949066,-265.97058,-272.5604,201.0,-262.57697,18.431969,-225.46454,-300.75293,201.0,70350,0.0,0.0,2324.818476676941,0.15410636,-1867.5033
-265.41855,10.552895,-254.86565,-275.97144,201.0,-265.17126,14.6696415,-238.46315,-304.76993,201.0,75375,0.0,0.0,2507.6285243034363,0.1628074,-1867.5033
