trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-1516.4897,262.9306,-1253.5591,-1779.4203,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,14.543315410614014,0.23541136,-1853.2247
-401.3824,15.440872,-385.94153,-416.82327,201.0,-1014.145,252.97292,-644.754,-1327.3939,201.0,20904,0.0,0.0,31.34390902519226,0.20585951,-1853.2247
-413.33084,149.58725,-263.7436,-562.9181,201.0,-469.08972,77.04423,-388.00537,-588.3638,201.0,21708,0.0,0.0,48.35538291931152,0.19385935,-1853.2247
-304.41327,1.4385223,-302.97476,-305.8518,201.0,-360.90045,39.24701,-294.7622,-394.0757,201.0,22512,0.0,0.0,65.26732635498047,0.17358899,-1853.2247
-321.55374,45.236664,-276.31708,-366.7904,201.0,-319.15082,14.504882,-306.0128,-341.40814,201.0,23316,0.0,0.0,82.05589127540588,0.18982734,-1853.2247
-306.27438,40.04773,-266.22665,-346.3221,201.0,-285.6914,18.522532,-266.16257,-314.56366,201.0,24120,0.0,0.0,99.27834987640381,0.18276066,-1853.2247
-309.02393,22.838806,-286.18512,-331.86273,201.0,-279.6092,23.33509,-254.5984,-317.86075,201.0,24924,0.0,0.0,116.44105339050293,0.18690619,-1853.2247
-302.34033,38.98259,-263.35776,-341.32294,201.0,-301.26447,28.01643,-274.80106,-343.15182,201.0,25728,0.0,0.0,133.91231203079224,0.18260323,-1853.2247
-269.43463,5.9312897,-263.50336,-275.36594,201.0,-298.9785,23.373348,-262.63013,-323.57324,201.0,26532,0.0,0.0,150.99199271202087,0.18371296,-1853.2247
-271.38452,1.2575836,-270.12695,-272.64212,201.0,-274.6528,13.728041,-257.29306,-295.4686,201.0,27336,0.0,0.0,168.06193780899048,0.17605138,-1853.2247
-320.22424,13.763489,-306.46075,-333.98773,201.0,-258.5739,16.489277,-241.96901,-284.60022,201.0,28140,0.0,0.0,185.2909574508667,0.17829016,-1853.2247
-293.62454,5.0190125,-288.60553,-298.64355,201.0,-288.3125,20.47097,-256.0933,-310.26273,201.0,28944,0.0,0.0,202.44862961769104,0.1976492,-1853.2247
-272.8318,11.973373,-260.8584,-284.80515,201.0,-261.1353,23.12064,-240.37372,-296.9553,201.0,29748,0.0,0.0,219.68793511390686,0.17657183,-1853.2247
-258.6225,17.66446,-240.95804,-276.28696,201.0,-269.05493,29.85885,-244.7239,-320.15775,201.0,30552,0.0,0.0,236.90742945671082,0.17224677,-1853.2247
-272.64642,16.314133,-256.33228,-288.96054,201.0,-256.8714,15.56253,-232.6795,-272.2525,201.0,31356,0.0,0.0,254.0911681652069,0.18254033,-1853.2247
