trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-706.6671,70.37488,-636.29224,-777.042,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,31.999788284301758,0.23505469,-1853.2247
-350.96545,22.425598,-328.53986,-373.39105,201.0,-641.3646,30.08171,-594.8736,-670.2239,201.0,20904,0.0,0.0,95.50766181945801,0.20449086,-1853.2247
-267.6376,3.368927,-264.26868,-271.00653,201.0,-340.6031,12.226383,-323.2384,-357.78656,201.0,21708,0.0,0.0,157.23519778251648,0.19245785,-1853.2247
-285.24402,6.7838593,-278.46017,-292.0279,201.0,-320.86774,31.494501,-277.13925,-358.18436,201.0,22512,0.0,0.0,218.5116789340973,0.19535403,-1853.2247
-283.43494,21.948364,-261.48657,-305.3833,201.0,-303.60065,34.082264,-256.88007,-351.75958,201.0,23316,0.0,0.0,282.2881603240967,0.18869412,-1853.2247
-271.28662,6.094742,-265.19186,-277.38135,201.0,-281.96146,11.441673,-262.91553,-293.453,201.0,24120,0.0,0.0,346.76266598701477,0.19036956,-1853.2247
-269.11682,7.6016083,-261.5152,-276.7184,201.0,-302.8598,12.53432,-288.10626,-322.4838,201.0,24924,0.0,0.0,410.9630959033966,0.1847534,-1853.2247
-313.89374,25.98761,-287.90613,-339.88135,201.0,-300.768,12.006443,-288.70648,-317.87943,201.0,25728,0.0,0.0,474.23225116729736,0.1812511,-1853.2247
-280.78027,4.3518524,-276.42844,-285.13214,201.0,-287.19745,22.372208,-255.57623,-318.74173,201.0,26532,0.0,0.0,539.150134563446,0.18702382,-1853.2247
-280.55707,7.9097443,-272.64734,-288.46683,201.0,-288.97925,16.025284,-275.40417,-316.33008,201.0,27336,0.0,0.0,603.0473237037659,0.19423318,-1853.2247
-293.961,17.760712,-276.2003,-311.7217,201.0,-272.67694,22.319347,-256.85312,-311.02036,201.0,28140,0.0,0.0,666.3615212440491,0.17804153,-1853.2247
-286.96448,16.887833,-270.07663,-303.8523,201.0,-274.64822,8.2325115,-261.301,-283.6067,201.0,28944,0.0,0.0,728.8270764350891,0.17549379,-1853.2247
-305.9972,9.687866,-296.30933,-315.68506,201.0,-284.396,6.0778613,-274.67987,-290.33746,201.0,29748,0.0,0.0,791.4070534706116,0.17435993,-1853.2247
-284.44418,7.4548645,-276.98932,-291.89905,201.0,-275.56036,19.057642,-254.4303,-306.2818,201.0,30552,0.0,0.0,857.5408697128296,0.17162293,-1853.2247
-265.33307,8.856155,-256.47693,-274.18924,201.0,-285.3385,20.735468,-263.65555,-318.49536,201.0,31356,0.0,0.0,920.8244543075562,0.17233638,-1853.2247
