trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-43.343163,39.96025,-12.90774,-122.25959,40.2,-172.54713,30.06939,-95.266685,-217.97687,101.0,5050,0.0,0.0,13.106014728546143,0.33907893,-172.54713
-37.648384,40.387196,-11.237867,-182.86516,33.2,-49.664677,44.81226,-9.174092,-165.40848,40.36,6059,0.0,0.0,51.806222438812256,0.37242076,-172.54713
-32.053513,19.900349,-9.62267,-66.17551,31.846153846153847,-42.443092,41.169983,-9.54328,-186.12752,38.88461538461539,7070,0.0,0.0,87.84444880485535,0.39016435,-172.54713
-24.65641,15.126168,-12.257159,-68.243195,28.133333333333333,-49.981987,40.12784,-9.565565,-145.76025,44.0,8082,0.0,0.0,127.49922752380371,0.41931924,-172.54713
-73.818504,55.072517,-11.345938,-186.00652,58.714285714285715,-42.312035,41.846798,-10.039254,-191.97157,37.32142857142857,9127,0.0,0.0,163.99104809761047,0.4262673,-172.54713
-46.12878,46.168156,-8.311212,-185.11966,38.0,-24.993414,14.64698,-8.893387,-72.2648,27.833333333333332,10129,0.0,0.0,199.51937913894653,0.43614078,-172.54713
-26.933353,17.187967,-8.820617,-68.92218,29.571428571428573,-36.268684,35.540985,-8.073832,-173.79744,34.6551724137931,11134,0.0,0.0,235.19609594345093,0.4369141,-172.54713
-33.773846,24.005585,-11.524696,-101.84746,33.416666666666664,-41.326153,44.7401,-10.815624,-186.60477,35.964285714285715,12141,0.0,0.0,270.16713786125183,0.4472928,-172.54713
-65.976456,42.405727,-14.176713,-143.06946,59.285714285714285,-37.785862,26.752878,-12.354275,-109.25741,35.75,13142,0.0,0.0,307.5912778377533,0.4581461,-172.54713
-33.963406,19.865301,-14.407468,-77.38511,32.53846153846154,-34.567295,28.053848,-9.852832,-134.86063,33.43333333333333,14145,0.0,0.0,344.40437936782837,0.47364664,-172.54713
-30.23543,32.454487,-8.23352,-130.509,31.53846153846154,-28.652287,33.031364,-7.449628,-190.89407,28.27777777777778,15163,0.0,0.0,380.0719497203827,0.45386186,-172.54713
-25.106834,23.207424,-9.965956,-67.02924,28.9,-30.895594,34.213894,-7.604394,-187.5724,30.727272727272727,16177,0.0,0.0,419.2688698768616,0.46095213,-172.54713
